policy_step,time_sec,state,joint_idx,raw_idx,raw_action,mapped_action,action_scale,scaled,default_q,command,q,dq,control_type,policy_kp,policy_kd,low_qd,low_qd_dot,low_kp,low_kd,low_tau_pre_clamp,torque_limit,fsm_final_tau,bridge_tau_pvt_false,raw_actions,mapped_actions,obs_ang_vel,obs_gravity,obs_commands,obs_lin_vel,obs_vec
5,1776796835.790014029,rl_flat,3,3,-0.690942347,-0.690942347,0.500000000,-0.345471174,0.000000000,-0.345471174,0.980894625,-2.519239187,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.957527146,20.000000000,-1.957527146,-1.957527146,"-0.984399;0.228950;-0.278674;-0.690942;1.044796;0.606893;-0.234814;-0.621813","-0.984399;0.228950;-0.278674;-0.690942;1.044796;0.606893;-0.234814;-0.621813","-0.203543;-0.729110;0.116001","0.226234;-0.002656;-0.974069","0.000000;0.000000;0.000000","-0.317505;0.007058;1.026790","-0.050886;-0.182278;0.029000;0.226234;-0.002656;-0.974069;0.000000;0.000000;0.000000;-0.041307;0.031416;0.014266;0.133975;-1.115505;-1.126581;0.019729;-0.002719;-0.071085;-0.007908;0.301377;0.300931;-0.121704;-0.280092;-1.004769;0.234901;-0.139735;-0.444471;1.040900;0.618674;-0.042244;-0.529010;-0.635009;0.014116"
5,1776796835.790014029,rl_flat,7,7,-0.621813416,-0.621813416,0.500000000,-0.310906708,0.000000000,-0.310906708,0.789718449,-5.649499893,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.944172770,20.000000000,0.944172770,0.944172770,"-0.984399;0.228950;-0.278674;-0.690942;1.044796;0.606893;-0.234814;-0.621813","-0.984399;0.228950;-0.278674;-0.690942;1.044796;0.606893;-0.234814;-0.621813","-0.203543;-0.729110;0.116001","0.226234;-0.002656;-0.974069","0.000000;0.000000;0.000000","-0.317505;0.007058;1.026790","-0.050886;-0.182278;0.029000;0.226234;-0.002656;-0.974069;0.000000;0.000000;0.000000;-0.041307;0.031416;0.014266;0.133975;-1.115505;-1.126581;0.019729;-0.002719;-0.071085;-0.007908;0.301377;0.300931;-0.121704;-0.280092;-1.004769;0.234901;-0.139735;-0.444471;1.040900;0.618674;-0.042244;-0.529010;-0.635009;0.014116"
6,1776796835.809989929,rl_flat,3,3,-0.851505041,-0.851505041,0.500000000,-0.425752521,0.000000000,-0.425752521,0.817976356,-4.807901382,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.049832880,20.000000000,-1.049832880,-1.049832880,"-0.963398;0.259232;-0.475886;-0.851505;1.093915;0.506591;-0.506431;-0.702155","-0.963398;0.259232;-0.475886;-0.851505;1.093915;0.506591;-0.506431;-0.702155","-0.264054;-2.165004;0.213218","0.163312;0.007015;-0.986550","0.000000;0.000000;0.000000","-0.227850;-0.016682;1.234861","-0.066013;-0.541251;0.053304;0.163312;0.007015;-0.986550;0.000000;0.000000;0.000000;-0.022924;0.033852;-0.003563;0.142925;-0.844072;-0.850942;0.020286;0.004809;0.008599;0.025608;0.336918;0.345047;-0.240395;-0.320367;-0.984399;0.228950;-0.278674;-0.690942;1.044796;0.606893;-0.234814;-0.621813;-0.455699;-0.033364"
6,1776796835.809989929,rl_flat,7,7,-0.702154994,-0.702154994,0.500000000,-0.351077497,0.000000000,-0.351077497,0.540742874,-6.407332897,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,1.088475102,20.000000000,1.088475102,1.088475102,"-0.963398;0.259232;-0.475886;-0.851505;1.093915;0.506591;-0.506431;-0.702155","-0.963398;0.259232;-0.475886;-0.851505;1.093915;0.506591;-0.506431;-0.702155","-0.264054;-2.165004;0.213218","0.163312;0.007015;-0.986550","0.000000;0.000000;0.000000","-0.227850;-0.016682;1.234861","-0.066013;-0.541251;0.053304;0.163312;0.007015;-0.986550;0.000000;0.000000;0.000000;-0.022924;0.033852;-0.003563;0.142925;-0.844072;-0.850942;0.020286;0.004809;0.008599;0.025608;0.336918;0.345047;-0.240395;-0.320367;-0.984399;0.228950;-0.278674;-0.690942;1.044796;0.606893;-0.234814;-0.621813;-0.455699;-0.033364"
7,1776796835.830021858,rl_flat,3,3,-0.933226049,-0.933226049,0.500000000,-0.466613024,0.000000000,-0.466613024,0.659201860,-6.093882084,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.490944114,20.000000000,-0.490944114,-0.490944114,"-0.855543;0.238574;-0.723967;-0.933226;1.001081;0.452157;-0.692203;-0.651753","-0.855543;0.238574;-0.723967;-0.933226;1.001081;0.452157;-0.692203;-0.651753","-0.211229;-2.888288;0.212031","0.090877;0.012987;-0.995777","0.000000;0.000000;0.000000","-0.104418;-0.028549;1.181300","-0.052807;-0.722072;0.053008;0.090877;0.012987;-0.995777;0.000000;0.000000;0.000000;-0.012487;0.037202;0.019500;0.162856;-0.660528;-0.661204;0.016501;0.006115;0.061471;0.045911;0.317946;0.330157;-0.304694;-0.293774;-0.963398;0.259232;-0.475886;-0.851505;1.093915;0.506591;-0.506431;-0.702155;-0.208836;-0.057098"
7,1776796835.830021858,rl_flat,7,7,-0.651752830,-0.651752830,0.500000000,-0.325876415,0.000000000,-0.325876415,0.369600862,-5.875482082,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.952806896,20.000000000,0.952806896,0.952806896,"-0.855543;0.238574;-0.723967;-0.933226;1.001081;0.452157;-0.692203;-0.651753","-0.855543;0.238574;-0.723967;-0.933226;1.001081;0.452157;-0.692203;-0.651753","-0.211229;-2.888288;0.212031","0.090877;0.012987;-0.995777","0.000000;0.000000;0.000000","-0.104418;-0.028549;1.181300","-0.052807;-0.722072;0.053008;0.090877;0.012987;-0.995777;0.000000;0.000000;0.000000;-0.012487;0.037202;0.019500;0.162856;-0.660528;-0.661204;0.016501;0.006115;0.061471;0.045911;0.317946;0.330157;-0.304694;-0.293774;-0.963398;0.259232;-0.475886;-0.851505;1.093915;0.506591;-0.506431;-0.702155;-0.208836;-0.057098"
8,1776796835.850101948,rl_flat,3,3,-0.941463411,-0.941463411,0.500000000,-0.470731705,0.000000000,-0.470731705,0.533735812,-6.385897636,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.304696503,20.000000000,-0.304696503,-0.304696503,"-0.808679;0.257481;-0.787226;-0.941463;0.934575;0.387205;-0.753738;-0.532970","-0.808679;0.257481;-0.787226;-0.941463;0.934575;0.387205;-0.753738;-0.532970","-0.179723;-3.125578;0.190227","0.030010;0.016600;-0.999412","0.000000;0.000000;0.000000","-0.010738;-0.029969;0.997340","-0.044931;-0.781395;0.047557;0.030010;0.016600;-0.999412;0.000000;0.000000;0.000000;-0.006468;0.039835;0.051015;0.183622;-0.542273;-0.537114;0.013842;0.006716;0.089673;0.056717;0.279351;0.294693;-0.319295;-0.244615;-0.855543;0.238574;-0.723967;-0.933226;1.001081;0.452157;-0.692203;-0.651753;-0.021477;-0.059938"
8,1776796835.850101948,rl_flat,7,7,-0.532970190,-0.532970190,0.500000000,-0.266485095,0.000000000,-0.266485095,0.263881296,-4.892307758,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.849267614,20.000000000,0.849267614,0.849267614,"-0.808679;0.257481;-0.787226;-0.941463;0.934575;0.387205;-0.753738;-0.532970","-0.808679;0.257481;-0.787226;-0.941463;0.934575;0.387205;-0.753738;-0.532970","-0.179723;-3.125578;0.190227","0.030010;0.016600;-0.999412","0.000000;0.000000;0.000000","-0.010738;-0.029969;0.997340","-0.044931;-0.781395;0.047557;0.030010;0.016600;-0.999412;0.000000;0.000000;0.000000;-0.006468;0.039835;0.051015;0.183622;-0.542273;-0.537114;0.013842;0.006716;0.089673;0.056717;0.279351;0.294693;-0.319295;-0.244615;-0.855543;0.238574;-0.723967;-0.933226;1.001081;0.452157;-0.692203;-0.651753;-0.021477;-0.059938"
9,1776796835.870118856,rl_flat,3,3,-0.989015102,-0.989015102,0.500000000,-0.494507551,0.000000000,-0.494507551,0.433709353,-6.080075264,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.822776628,20.000000000,-0.822776628,-0.822776628,"-0.683737;0.272355;-0.787837;-0.989015;0.839563;0.324791;-0.822523;-0.506806","-0.683737;0.272355;-0.787837;-0.989015;0.839563;0.324791;-0.822523;-0.506806","-0.118226;-3.103362;0.144133","-0.020039;0.018902;-0.999620","0.000000;0.000000;0.000000","0.037121;-0.027646;0.885295","-0.029557;-0.775841;0.036033;-0.020039;0.018902;-0.999620;0.000000;0.000000;0.000000;-0.005731;0.043472;0.083884;0.202320;-0.462822;-0.451549;-0.010802;0.018316;0.113638;0.061819;0.219701;0.242161;-0.304004;-0.171860;-0.808679;0.257481;-0.787226;-0.941463;0.934575;0.387205;-0.753738;-0.532970;0.074241;-0.055292"
9,1776796835.870118856,rl_flat,7,7,-0.506805897,-0.506805897,0.500000000,-0.253402948,0.000000000,-0.253402948,0.198911697,-3.437208414,P,11.500000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.164367175,20.000000000,-0.164367175,-0.164367175,"-0.683737;0.272355;-0.787837;-0.989015;0.839563;0.324791;-0.822523;-0.506806","-0.683737;0.272355;-0.787837;-0.989015;0.839563;0.324791;-0.822523;-0.506806","-0.118226;-3.103362;0.144133","-0.020039;0.018902;-0.999620","0.000000;0.000000;0.000000","0.037121;-0.027646;0.885295","-0.029557;-0.775841;0.036033;-0.020039;0.018902;-0.999620;0.000000;0.000000;0.000000;-0.005731;0.043472;0.083884;0.202320;-0.462822;-0.451549;-0.010802;0.018316;0.113638;0.061819;0.219701;0.242161;-0.304004;-0.171860;-0.808679;0.257481;-0.787226;-0.941463;0.934575;0.387205;-0.753738;-0.532970;0.074241;-0.055292"
